Area,Listing_Type,Parking,Furnished,Bedrooms,Bathrooms,Size_Sqft,Price,Price_Type
Madhapur,Sale,No,No,3,2,1451,15722620,Sale_Price_INR
ECIL,Sale,Yes,Yes,2,2,922,4926232,Sale_Price_INR
Madhapur,Sale,Yes,Yes,3,3,1603,17720649,Sale_Price_INR
Madhapur,Rent,Yes,No,2,2,1094,38999,Monthly_Rent_INR
Hitech City,Sale,No,No,2,2,788,8133211,Sale_Price_INR
ECIL,Sale,No,No,4,4,1924,11067029,Sale_Price_INR
Ameerpet,Rent,No,No,1,1,551,12962,Monthly_Rent_INR
Hitech City,Rent,No,No,2,2,1297,56347,Monthly_Rent_INR
Sainikpuri,Sale,No,Yes,3,2,1446,10254867,Sale_Price_INR
Bowenpally,Rent,Yes,Yes,2,1,901,15381,Monthly_Rent_INR
Gachibowli,Sale,Yes,Yes,3,3,1318,16081426,Sale_Price_INR
Madhapur,Rent,Yes,No,2,2,1361,44296,Monthly_Rent_INR
ECIL,Rent,Yes,No,2,2,1037,12150,Monthly_Rent_INR
Gachibowli,Rent,Yes,No,4,3,1758,70011,Monthly_Rent_INR
Gachibowli,Sale,Yes,No,2,2,887,9913088,Sale_Price_INR
Sainikpuri,Rent,Yes,Yes,3,3,1686,15775,Monthly_Rent_INR
Kompally,Rent,Yes,Yes,3,3,1575,29094,Monthly_Rent_INR
Madhapur,Rent,No,Yes,2,1,1034,38877,Monthly_Rent_INR
Sainikpuri,Sale,Yes,No,3,2,1408,7885106,Sale_Price_INR
ECIL,Rent,Yes,Yes,2,2,897,11684,Monthly_Rent_INR
Madhapur,Sale,Yes,No,2,2,1215,13854936,Sale_Price_INR
Hitech City,Sale,Yes,Yes,2,2,1110,14157603,Sale_Price_INR
Alwal,Rent,No,Yes,2,2,802,9921,Monthly_Rent_INR
Madhapur,Sale,Yes,No,2,2,955,10669188,Sale_Price_INR
Kompally,Rent,Yes,Yes,2,2,1035,19052,Monthly_Rent_INR
Hitech City,Sale,Yes,No,3,3,1411,15415742,Sale_Price_INR
Ameerpet,Rent,Yes,No,3,2,1645,33424,Monthly_Rent_INR
Ameerpet,Sale,Yes,No,2,1,884,6121663,Sale_Price_INR
ECIL,Sale,No,Yes,2,2,1127,6404015,Sale_Price_INR
Sainikpuri,Rent,No,Yes,2,2,1093,11529,Monthly_Rent_INR
Hitech City,Rent,No,No,2,2,1011,37879,Monthly_Rent_INR
Ameerpet,Sale,Yes,No,3,3,1247,8837255,Sale_Price_INR
Kompally,Rent,Yes,No,2,1,1026,19491,Monthly_Rent_INR
Kompally,Sale,Yes,No,2,2,985,7300621,Sale_Price_INR
Alwal,Rent,No,Yes,2,2,826,9701,Monthly_Rent_INR
Alwal,Rent,Yes,No,1,1,504,5618,Monthly_Rent_INR
Sainikpuri,Rent,Yes,Yes,1,1,602,5847,Monthly_Rent_INR
Kukatpally,Sale,Yes,Yes,2,2,837,5509340,Sale_Price_INR
Hitech City,Rent,Yes,No,2,2,1251,41725,Monthly_Rent_INR
Kompally,Sale,Yes,No,2,2,943,7312753,Sale_Price_INR
Kompally,Sale,Yes,No,1,1,602,4297180,Sale_Price_INR
Sainikpuri,Sale,No,Yes,3,3,1563,9485724,Sale_Price_INR
ECIL,Sale,Yes,No,3,2,1319,6741207,Sale_Price_INR
Gachibowli,Rent,Yes,No,2,1,912,33469,Monthly_Rent_INR
Bowenpally,Rent,Yes,Yes,2,1,1203,20283,Monthly_Rent_INR
ECIL,Sale,Yes,No,2,2,1048,5662595,Sale_Price_INR
Alwal,Rent,Yes,No,2,1,1059,11501,Monthly_Rent_INR
Bowenpally,Rent,No,No,3,2,1720,27162,Monthly_Rent_INR
Kompally,Rent,No,Yes,1,1,538,9883,Monthly_Rent_INR
Ameerpet,Sale,Yes,No,3,2,1235,9426826,Sale_Price_INR
Hitech City,Rent,Yes,No,2,2,996,38818,Monthly_Rent_INR
ECIL,Sale,No,No,2,1,1212,6693359,Sale_Price_INR
Ameerpet,Sale,No,Yes,2,1,1000,7100956,Sale_Price_INR
Kompally,Rent,No,No,2,1,1074,18056,Monthly_Rent_INR
Ameerpet,Rent,Yes,Yes,1,1,558,14166,Monthly_Rent_INR
Kukatpally,Sale,No,No,3,2,1333,7289189,Sale_Price_INR
Hitech City,Sale,Yes,No,2,2,1142,12382208,Sale_Price_INR
Hitech City,Rent,Yes,No,3,2,1590,66236,Monthly_Rent_INR
Alwal,Sale,No,Yes,2,1,950,6830122,Sale_Price_INR
Gachibowli,Sale,Yes,Yes,2,1,1092,12767521,Sale_Price_INR
Gachibowli,Sale,No,No,1,1,712,8421062,Sale_Price_INR
Kukatpally,Rent,Yes,No,2,2,930,21787,Monthly_Rent_INR
Kukatpally,Sale,Yes,No,1,1,642,3944191,Sale_Price_INR
Ameerpet,Sale,Yes,No,2,2,1239,8244621,Sale_Price_INR
Gachibowli,Sale,Yes,No,4,4,1985,23572633,Sale_Price_INR
Hitech City,Rent,Yes,No,2,2,1158,45506,Monthly_Rent_INR
Madhapur,Sale,No,No,2,2,1019,9449788,Sale_Price_INR
Kukatpally,Sale,Yes,Yes,2,2,1007,5845796,Sale_Price_INR
Bowenpally,Sale,Yes,Yes,2,2,1162,9380164,Sale_Price_INR
Alwal,Sale,Yes,No,3,2,1125,7406981,Sale_Price_INR
Gachibowli,Sale,No,No,2,1,918,9870752,Sale_Price_INR
Kompally,Rent,Yes,Yes,2,2,997,15317,Monthly_Rent_INR
Sainikpuri,Rent,No,No,2,2,1053,10582,Monthly_Rent_INR
Alwal,Rent,Yes,No,3,3,1587,18011,Monthly_Rent_INR
Kompally,Rent,No,Yes,2,1,1341,27410,Monthly_Rent_INR
Kompally,Rent,Yes,Yes,3,3,1494,28852,Monthly_Rent_INR
Alwal,Sale,No,No,1,1,635,4186961,Sale_Price_INR
Madhapur,Sale,No,Yes,1,1,637,6541758,Sale_Price_INR
Alwal,Sale,No,No,1,1,559,3634549,Sale_Price_INR
Alwal,Sale,Yes,No,2,2,1011,7729501,Sale_Price_INR
Kompally,Sale,Yes,No,2,1,1086,7877029,Sale_Price_INR
Bowenpally,Sale,No,No,2,2,817,5415308,Sale_Price_INR
Kukatpally,Sale,No,No,2,1,737,4184676,Sale_Price_INR
Madhapur,Sale,No,Yes,3,3,1316,14892005,Sale_Price_INR
Gachibowli,Sale,Yes,Yes,2,2,1165,13783974,Sale_Price_INR
Alwal,Rent,No,Yes,3,2,1460,16706,Monthly_Rent_INR
Bowenpally,Sale,No,No,2,2,1164,10399636,Sale_Price_INR
Alwal,Sale,Yes,Yes,2,2,933,6801692,Sale_Price_INR
Kukatpally,Rent,Yes,No,3,2,1364,33310,Monthly_Rent_INR
Ameerpet,Sale,Yes,No,1,1,559,3964550,Sale_Price_INR
Hitech City,Sale,No,No,1,1,635,7671008,Sale_Price_INR
Madhapur,Sale,Yes,Yes,2,2,963,11612907,Sale_Price_INR
Kompally,Rent,Yes,No,2,2,1112,19480,Monthly_Rent_INR
Sainikpuri,Rent,No,No,3,3,1317,13210,Monthly_Rent_INR
Kukatpally,Sale,Yes,No,2,1,1161,6474654,Sale_Price_INR
Madhapur,Sale,Yes,Yes,3,3,1593,17502365,Sale_Price_INR
Madhapur,Sale,Yes,No,4,4,1846,18418104,Sale_Price_INR
Ameerpet,Rent,Yes,No,2,2,963,23950,Monthly_Rent_INR
Kompally,Sale,Yes,No,2,2,986,7280177,Sale_Price_INR
Ameerpet,Sale,No,No,2,1,1253,9428895,Sale_Price_INR
Ameerpet,Rent,Yes,No,2,2,1177,30289,Monthly_Rent_INR
Hitech City,Rent,Yes,No,2,2,940,38768,Monthly_Rent_INR
Sainikpuri,Sale,Yes,No,2,2,1030,6045940,Sale_Price_INR
Hitech City,Sale,Yes,No,4,4,1776,18574135,Sale_Price_INR
Kukatpally,Sale,Yes,No,2,2,1080,6433382,Sale_Price_INR
Sainikpuri,Rent,Yes,No,2,2,1349,13281,Monthly_Rent_INR
Sainikpuri,Sale,No,No,2,2,1024,5909368,Sale_Price_INR
Sainikpuri,Sale,Yes,No,2,2,1272,8357406,Sale_Price_INR
Alwal,Sale,Yes,Yes,2,2,1167,7414663,Sale_Price_INR
Kompally,Sale,No,Yes,2,2,750,5175279,Sale_Price_INR
Alwal,Rent,Yes,No,1,1,673,7366,Monthly_Rent_INR
Hitech City,Sale,Yes,No,2,2,1289,16836744,Sale_Price_INR
Hitech City,Rent,Yes,Yes,2,1,976,42369,Monthly_Rent_INR
Kukatpally,Rent,Yes,No,1,1,565,12675,Monthly_Rent_INR
Kompally,Rent,Yes,No,2,2,991,19386,Monthly_Rent_INR
Hitech City,Sale,No,Yes,3,2,1290,13731063,Sale_Price_INR
Hitech City,Sale,Yes,No,2,2,1072,12792181,Sale_Price_INR
Kukatpally,Sale,Yes,Yes,1,1,591,3758616,Sale_Price_INR
Madhapur,Sale,Yes,Yes,3,2,1676,17582189,Sale_Price_INR
Ameerpet,Rent,Yes,No,2,2,1212,31360,Monthly_Rent_INR
Bowenpally,Sale,No,No,2,2,1137,9065998,Sale_Price_INR
Kompally,Rent,Yes,No,2,2,958,16924,Monthly_Rent_INR
ECIL,Rent,Yes,No,2,2,1283,12762,Monthly_Rent_INR
Madhapur,Sale,Yes,No,2,1,1289,12399179,Sale_Price_INR
Ameerpet,Rent,Yes,No,1,1,541,11274,Monthly_Rent_INR
Madhapur,Rent,Yes,No,2,1,1303,44001,Monthly_Rent_INR
Ameerpet,Rent,No,No,2,2,1171,27342,Monthly_Rent_INR
Ameerpet,Sale,No,No,2,1,1096,8989844,Sale_Price_INR
Bowenpally,Rent,Yes,No,3,3,1506,27678,Monthly_Rent_INR
Bowenpally,Sale,Yes,No,2,2,1149,9509301,Sale_Price_INR
Alwal,Rent,Yes,No,2,2,1250,13604,Monthly_Rent_INR
Madhapur,Rent,No,No,4,4,2262,77559,Monthly_Rent_INR
Kukatpally,Sale,Yes,No,3,2,1452,8089493,Sale_Price_INR
Sainikpuri,Rent,Yes,No,2,2,1253,11420,Monthly_Rent_INR
ECIL,Rent,No,Yes,3,2,1554,18180,Monthly_Rent_INR
Sainikpuri,Rent,No,No,2,2,1022,9622,Monthly_Rent_INR
Alwal,Sale,Yes,No,2,2,1046,7380624,Sale_Price_INR
Kukatpally,Sale,Yes,No,2,1,1117,6631041,Sale_Price_INR
Sainikpuri,Sale,No,No,4,3,1856,11740657,Sale_Price_INR
ECIL,Sale,Yes,No,2,2,1062,5730139,Sale_Price_INR
Gachibowli,Rent,Yes,No,3,2,1593,57372,Monthly_Rent_INR
Kompally,Rent,Yes,Yes,3,3,1647,34024,Monthly_Rent_INR
Kukatpally,Rent,Yes,No,3,3,1694,43478,Monthly_Rent_INR
Hitech City,Rent,No,Yes,2,1,1202,48298,Monthly_Rent_INR
Kukatpally,Rent,Yes,No,3,2,1519,30759,Monthly_Rent_INR
ECIL,Rent,No,Yes,3,3,1282,16938,Monthly_Rent_INR
Gachibowli,Sale,Yes,No,2,2,1010,10486449,Sale_Price_INR
Madhapur,Rent,Yes,Yes,2,1,1258,47282,Monthly_Rent_INR
Sainikpuri,Sale,No,No,2,1,1011,6191572,Sale_Price_INR
Hitech City,Sale,No,Yes,2,2,939,12169675,Sale_Price_INR
Kukatpally,Sale,No,No,2,1,1074,6460643,Sale_Price_INR
Alwal,Rent,No,No,3,2,1340,15644,Monthly_Rent_INR
Bowenpally,Rent,No,No,2,2,981,16246,Monthly_Rent_INR
Kukatpally,Rent,No,Yes,2,1,1099,30367,Monthly_Rent_INR
Ameerpet,Sale,Yes,Yes,2,1,984,7886655,Sale_Price_INR
Kompally,Sale,Yes,Yes,3,2,1249,9017940,Sale_Price_INR
Bowenpally,Rent,No,No,3,3,1787,28078,Monthly_Rent_INR
Gachibowli,Sale,Yes,No,1,1,698,8464279,Sale_Price_INR
Alwal,Rent,No,Yes,2,1,865,9486,Monthly_Rent_INR
Hitech City,Rent,Yes,No,3,3,1229,49256,Monthly_Rent_INR
Kompally,Sale,Yes,No,3,3,1643,12709342,Sale_Price_INR
Hitech City,Rent,No,No,2,2,1041,38761,Monthly_Rent_INR
Alwal,Sale,No,Yes,2,2,1191,8921452,Sale_Price_INR
Gachibowli,Sale,Yes,Yes,2,2,952,11143189,Sale_Price_INR
Bowenpally,Sale,No,No,3,3,1006,9109391,Sale_Price_INR
Ameerpet,Sale,Yes,No,2,1,1147,8586212,Sale_Price_INR
Madhapur,Rent,Yes,No,2,2,1084,38213,Monthly_Rent_INR
Hitech City,Rent,Yes,No,4,4,1553,67977,Monthly_Rent_INR
ECIL,Sale,No,Yes,3,3,1390,8384079,Sale_Price_INR
Ameerpet,Sale,No,No,3,2,1480,11327670,Sale_Price_INR
Madhapur,Sale,Yes,No,3,3,1566,16096833,Sale_Price_INR
Gachibowli,Rent,No,Yes,2,2,1141,48974,Monthly_Rent_INR
Gachibowli,Rent,Yes,No,3,3,1380,55512,Monthly_Rent_INR
Ameerpet,Sale,No,Yes,3,3,1117,7983633,Sale_Price_INR
Madhapur,Sale,Yes,Yes,2,2,1199,11623277,Sale_Price_INR
Sainikpuri,Sale,No,No,2,1,866,5520802,Sale_Price_INR
Kompally,Sale,Yes,No,2,1,1126,7544376,Sale_Price_INR
Bowenpally,Sale,Yes,No,2,2,1073,8105225,Sale_Price_INR
Kompally,Rent,Yes,No,2,2,1044,17208,Monthly_Rent_INR
Madhapur,Rent,No,No,2,2,975,31412,Monthly_Rent_INR
Madhapur,Sale,Yes,No,2,2,1358,13548584,Sale_Price_INR
Ameerpet,Rent,Yes,No,2,1,1074,27713,Monthly_Rent_INR
Alwal,Rent,Yes,Yes,3,3,1454,17521,Monthly_Rent_INR
Hitech City,Sale,Yes,Yes,2,2,1123,14788643,Sale_Price_INR
Bowenpally,Rent,Yes,No,3,3,1232,17876,Monthly_Rent_INR
Sainikpuri,Rent,No,No,1,1,652,6111,Monthly_Rent_INR
Kukatpally,Rent,No,No,2,2,1168,23810,Monthly_Rent_INR
Gachibowli,Sale,No,Yes,2,2,822,9603784,Sale_Price_INR
Hitech City,Sale,No,No,3,3,1545,19063509,Sale_Price_INR
Kukatpally,Rent,Yes,Yes,3,3,1572,40776,Monthly_Rent_INR
Madhapur,Sale,No,Yes,2,2,1123,11468105,Sale_Price_INR
Sainikpuri,Sale,Yes,No,3,3,1332,7406231,Sale_Price_INR
Bowenpally,Sale,Yes,Yes,3,3,1116,9011333,Sale_Price_INR
ECIL,Sale,No,No,1,1,614,2852833,Sale_Price_INR
Gachibowli,Rent,Yes,No,3,2,1251,48072,Monthly_Rent_INR
Ameerpet,Rent,No,No,2,1,1114,27301,Monthly_Rent_INR
Alwal,Rent,No,Yes,2,2,895,11426,Monthly_Rent_INR
Kukatpally,Sale,No,Yes,3,2,1542,10152664,Sale_Price_INR
Kukatpally,Sale,Yes,Yes,3,3,1192,7695234,Sale_Price_INR
Sainikpuri,Sale,Yes,No,2,2,1140,6277958,Sale_Price_INR
Madhapur,Rent,Yes,Yes,3,3,1575,65832,Monthly_Rent_INR
Madhapur,Rent,No,Yes,2,2,1075,38400,Monthly_Rent_INR
ECIL,Sale,No,Yes,2,2,1028,5254235,Sale_Price_INR
Hitech City,Rent,No,No,2,2,1164,49495,Monthly_Rent_INR
Kukatpally,Sale,Yes,No,2,2,1090,5870130,Sale_Price_INR
Sainikpuri,Rent,Yes,Yes,2,2,929,9053,Monthly_Rent_INR
Madhapur,Sale,Yes,No,2,2,1018,11113699,Sale_Price_INR
Ameerpet,Rent,No,No,2,2,1073,24315,Monthly_Rent_INR
Kukatpally,Rent,Yes,Yes,3,2,1505,35889,Monthly_Rent_INR
Alwal,Rent,No,No,1,1,680,8506,Monthly_Rent_INR
Kukatpally,Sale,Yes,No,2,2,912,5300390,Sale_Price_INR
Hitech City,Rent,Yes,No,2,2,1187,49377,Monthly_Rent_INR
Bowenpally,Rent,No,Yes,2,2,1134,16935,Monthly_Rent_INR
ECIL,Rent,Yes,No,2,2,1065,12623,Monthly_Rent_INR
Bowenpally,Rent,Yes,No,1,1,631,8378,Monthly_Rent_INR
Ameerpet,Sale,No,Yes,2,2,1073,8615070,Sale_Price_INR
Kompally,Sale,Yes,No,3,3,1239,8896693,Sale_Price_INR
Alwal,Sale,Yes,No,2,1,1036,6693236,Sale_Price_INR
Hitech City,Sale,Yes,No,1,1,571,7048022,Sale_Price_INR
Madhapur,Sale,Yes,No,3,3,1431,13264374,Sale_Price_INR
Gachibowli,Rent,Yes,Yes,3,2,1279,56717,Monthly_Rent_INR
Bowenpally,Sale,Yes,Yes,2,1,1084,9369501,Sale_Price_INR
Alwal,Rent,Yes,No,2,1,1222,15977,Monthly_Rent_INR
ECIL,Sale,Yes,No,2,2,1264,6839813,Sale_Price_INR
Bowenpally,Rent,Yes,Yes,3,3,1206,18904,Monthly_Rent_INR
Madhapur,Sale,No,Yes,2,1,1055,11117623,Sale_Price_INR
Gachibowli,Sale,No,No,3,2,1318,13969537,Sale_Price_INR
Alwal,Sale,Yes,Yes,1,1,612,4563267,Sale_Price_INR
Kompally,Rent,No,Yes,2,1,1234,21645,Monthly_Rent_INR
ECIL,Sale,Yes,Yes,2,2,981,5373375,Sale_Price_INR
Hitech City,Sale,Yes,No,2,2,1048,11996530,Sale_Price_INR
Madhapur,Sale,Yes,No,2,1,1164,13064134,Sale_Price_INR
Kukatpally,Rent,Yes,No,3,3,1470,36949,Monthly_Rent_INR
Gachibowli,Rent,Yes,Yes,3,2,1520,65223,Monthly_Rent_INR
Alwal,Sale,Yes,Yes,3,2,1282,9045418,Sale_Price_INR
Sainikpuri,Sale,No,Yes,1,1,585,3710961,Sale_Price_INR
Madhapur,Sale,Yes,No,2,1,894,8644881,Sale_Price_INR
Madhapur,Sale,No,Yes,2,2,886,8461291,Sale_Price_INR
Alwal,Sale,Yes,No,2,1,922,6225039,Sale_Price_INR
Alwal,Rent,No,No,2,1,993,12665,Monthly_Rent_INR
Madhapur,Sale,Yes,No,2,2,863,10022196,Sale_Price_INR
Kukatpally,Rent,Yes,No,4,3,2047,50564,Monthly_Rent_INR
ECIL,Rent,Yes,Yes,1,1,495,6005,Monthly_Rent_INR
ECIL,Sale,Yes,No,1,1,604,3249822,Sale_Price_INR
ECIL,Rent,Yes,Yes,1,1,637,8325,Monthly_Rent_INR
Alwal,Sale,No,No,3,2,1398,10134180,Sale_Price_INR
Sainikpuri,Sale,Yes,Yes,2,1,988,5170218,Sale_Price_INR
Kompally,Rent,Yes,Yes,2,2,1129,21639,Monthly_Rent_INR
Sainikpuri,Rent,No,No,2,2,1021,9825,Monthly_Rent_INR
Hitech City,Rent,Yes,No,1,1,573,22718,Monthly_Rent_INR
Sainikpuri,Sale,Yes,No,2,2,1005,6029006,Sale_Price_INR
Madhapur,Sale,No,Yes,2,2,909,9500835,Sale_Price_INR
Bowenpally,Sale,Yes,No,2,1,1056,8926164,Sale_Price_INR
Madhapur,Rent,Yes,No,2,2,1045,31771,Monthly_Rent_INR
Hitech City,Sale,Yes,Yes,2,2,918,11746686,Sale_Price_INR
Kompally,Sale,Yes,Yes,2,2,1081,8657145,Sale_Price_INR
Hitech City,Rent,Yes,No,3,3,1299,47430,Monthly_Rent_INR
Sainikpuri,Sale,No,No,2,1,882,4983497,Sale_Price_INR
Sainikpuri,Sale,Yes,No,3,3,1530,10348148,Sale_Price_INR
Kompally,Rent,Yes,No,2,1,1143,22397,Monthly_Rent_INR
Sainikpuri,Sale,No,No,1,1,481,2784478,Sale_Price_INR
Ameerpet,Rent,No,No,3,3,1437,36459,Monthly_Rent_INR
Gachibowli,Sale,Yes,No,3,3,1532,17256708,Sale_Price_INR
ECIL,Sale,Yes,No,2,2,1224,6021829,Sale_Price_INR
Bowenpally,Rent,No,No,2,2,1145,16742,Monthly_Rent_INR
Gachibowli,Rent,Yes,Yes,2,2,968,35232,Monthly_Rent_INR
Hitech City,Rent,Yes,Yes,3,3,1443,57531,Monthly_Rent_INR
Sainikpuri,Rent,Yes,Yes,2,2,1029,12302,Monthly_Rent_INR
Ameerpet,Sale,Yes,No,2,2,1126,7955518,Sale_Price_INR
Sainikpuri,Sale,No,No,2,2,1132,6876561,Sale_Price_INR
Kukatpally,Sale,No,Yes,1,1,495,2934849,Sale_Price_INR
Gachibowli,Sale,Yes,No,2,2,1135,12963057,Sale_Price_INR
Hitech City,Sale,Yes,Yes,2,1,1045,12096624,Sale_Price_INR
Sainikpuri,Rent,No,No,3,2,1313,12496,Monthly_Rent_INR
Kukatpally,Rent,No,Yes,2,1,1052,26754,Monthly_Rent_INR
Ameerpet,Rent,Yes,No,3,2,1458,38876,Monthly_Rent_INR
Sainikpuri,Rent,Yes,No,4,4,1817,18741,Monthly_Rent_INR
Bowenpally,Sale,Yes,Yes,2,2,964,7863248,Sale_Price_INR
ECIL,Rent,Yes,No,2,1,960,10820,Monthly_Rent_INR
Bowenpally,Sale,No,Yes,4,3,1956,16898203,Sale_Price_INR
Madhapur,Rent,Yes,Yes,2,1,795,30104,Monthly_Rent_INR
Bowenpally,Sale,Yes,Yes,3,2,1264,10932621,Sale_Price_INR
Bowenpally,Sale,Yes,No,2,1,1112,8722073,Sale_Price_INR
Kompally,Rent,No,No,3,2,1337,20847,Monthly_Rent_INR
Sainikpuri,Rent,Yes,No,3,3,1353,11265,Monthly_Rent_INR
Bowenpally,Rent,Yes,No,3,3,1284,19117,Monthly_Rent_INR
Kompally,Sale,Yes,Yes,2,1,1095,8240683,Sale_Price_INR
Sainikpuri,Sale,Yes,Yes,3,2,1617,9770223,Sale_Price_INR
Madhapur,Rent,Yes,Yes,2,2,1140,45476,Monthly_Rent_INR
Sainikpuri,Sale,No,Yes,3,3,1404,7279512,Sale_Price_INR
Madhapur,Rent,Yes,Yes,2,2,1332,52981,Monthly_Rent_INR
Bowenpally,Rent,Yes,No,2,2,1002,15817,Monthly_Rent_INR
Sainikpuri,Rent,Yes,No,3,3,1391,14111,Monthly_Rent_INR
ECIL,Rent,Yes,Yes,2,1,1044,11567,Monthly_Rent_INR
Madhapur,Sale,Yes,No,3,3,1248,11933614,Sale_Price_INR
Gachibowli,Sale,Yes,No,2,1,917,8820662,Sale_Price_INR
Alwal,Rent,Yes,Yes,1,1,580,7569,Monthly_Rent_INR
Madhapur,Sale,Yes,No,2,2,990,10997531,Sale_Price_INR
Ameerpet,Rent,Yes,No,1,1,513,14020,Monthly_Rent_INR
Ameerpet,Rent,Yes,No,2,2,1283,30058,Monthly_Rent_INR
ECIL,Rent,Yes,Yes,2,2,974,13079,Monthly_Rent_INR
Kompally,Rent,No,Yes,2,2,1070,20619,Monthly_Rent_INR
ECIL,Rent,Yes,No,2,2,1044,11956,Monthly_Rent_INR
Alwal,Sale,Yes,No,1,1,557,3892847,Sale_Price_INR
Madhapur,Sale,Yes,Yes,3,3,1583,15218996,Sale_Price_INR
Hitech City,Rent,Yes,Yes,2,2,1131,46638,Monthly_Rent_INR
Madhapur,Sale,Yes,Yes,2,1,1220,13282068,Sale_Price_INR
Ameerpet,Rent,Yes,No,3,2,1358,33890,Monthly_Rent_INR
Sainikpuri,Rent,No,No,3,2,1390,14539,Monthly_Rent_INR
Gachibowli,Rent,Yes,No,2,2,1096,37226,Monthly_Rent_INR
Alwal,Rent,No,No,2,1,942,9040,Monthly_Rent_INR
Bowenpally,Sale,No,No,2,2,803,7186594,Sale_Price_INR
ECIL,Sale,No,Yes,2,1,1015,4972077,Sale_Price_INR
Hitech City,Rent,Yes,No,2,2,1119,47025,Monthly_Rent_INR
Bowenpally,Sale,No,Yes,2,2,1270,11302357,Sale_Price_INR
Hitech City,Sale,No,Yes,2,2,983,11390226,Sale_Price_INR
Ameerpet,Rent,No,No,2,1,1068,24852,Monthly_Rent_INR
Alwal,Rent,No,No,3,2,1422,15876,Monthly_Rent_INR
Gachibowli,Rent,Yes,No,3,2,1568,54711,Monthly_Rent_INR
Kukatpally,Sale,Yes,Yes,1,1,486,2878370,Sale_Price_INR
ECIL,Sale,No,Yes,1,1,553,3062335,Sale_Price_INR
Kompally,Rent,Yes,No,3,3,1270,22478,Monthly_Rent_INR
Alwal,Sale,Yes,Yes,2,2,950,6763093,Sale_Price_INR
ECIL,Sale,Yes,No,4,3,1820,10556762,Sale_Price_INR
Bowenpally,Sale,No,Yes,1,1,517,4043907,Sale_Price_INR
Gachibowli,Sale,Yes,No,3,3,1631,21066540,Sale_Price_INR
Alwal,Sale,No,No,3,3,1388,10756050,Sale_Price_INR
Gachibowli,Sale,No,No,3,3,1477,16445254,Sale_Price_INR
Ameerpet,Sale,No,Yes,2,2,1100,7989867,Sale_Price_INR
Madhapur,Sale,Yes,No,2,2,1111,13019870,Sale_Price_INR
ECIL,Rent,Yes,No,2,1,1100,10074,Monthly_Rent_INR
Alwal,Rent,No,No,2,1,1025,13407,Monthly_Rent_INR
Bowenpally,Rent,No,No,3,3,1509,25377,Monthly_Rent_INR
Kompally,Sale,Yes,No,2,2,1238,8457258,Sale_Price_INR
Bowenpally,Sale,No,Yes,2,2,1049,8154626,Sale_Price_INR
Ameerpet,Sale,No,No,2,2,1125,6750763,Sale_Price_INR
Madhapur,Sale,Yes,No,2,2,1045,11486966,Sale_Price_INR
Madhapur,Sale,No,No,2,2,826,8491025,Sale_Price_INR
ECIL,Rent,Yes,No,2,1,1064,12457,Monthly_Rent_INR
Sainikpuri,Sale,Yes,Yes,3,3,1429,9801888,Sale_Price_INR
ECIL,Sale,Yes,No,3,3,1424,8799476,Sale_Price_INR
Alwal,Rent,Yes,Yes,2,2,923,10717,Monthly_Rent_INR
Kukatpally,Rent,Yes,Yes,3,3,1158,27587,Monthly_Rent_INR
Ameerpet,Rent,No,Yes,3,3,1499,40695,Monthly_Rent_INR
Kukatpally,Rent,Yes,Yes,2,1,897,22838,Monthly_Rent_INR
Madhapur,Rent,Yes,No,2,2,1046,39281,Monthly_Rent_INR
Madhapur,Sale,No,Yes,2,2,1010,11059777,Sale_Price_INR
Bowenpally,Sale,Yes,No,2,2,1014,7739286,Sale_Price_INR
Alwal,Rent,Yes,Yes,2,2,898,11854,Monthly_Rent_INR
Madhapur,Rent,No,No,2,2,732,25824,Monthly_Rent_INR
Sainikpuri,Rent,Yes,No,2,1,867,7652,Monthly_Rent_INR
Madhapur,Rent,Yes,Yes,3,2,1429,54773,Monthly_Rent_INR
Alwal,Sale,No,No,3,3,1265,7926763,Sale_Price_INR
Gachibowli,Sale,Yes,No,1,1,585,7159138,Sale_Price_INR
Gachibowli,Sale,Yes,Yes,2,2,1021,11813725,Sale_Price_INR
Ameerpet,Sale,No,No,2,2,950,6893230,Sale_Price_INR
Madhapur,Sale,No,No,2,1,849,10015691,Sale_Price_INR
Madhapur,Rent,Yes,No,2,2,1076,40037,Monthly_Rent_INR
Gachibowli,Sale,Yes,No,2,2,1154,11096634,Sale_Price_INR
Ameerpet,Sale,No,No,2,2,1160,8394359,Sale_Price_INR
Gachibowli,Rent,Yes,Yes,2,1,1192,50638,Monthly_Rent_INR
Ameerpet,Rent,No,No,4,4,2202,49855,Monthly_Rent_INR
Sainikpuri,Sale,No,Yes,2,2,833,5061152,Sale_Price_INR
ECIL,Rent,No,No,4,3,2052,24410,Monthly_Rent_INR
Sainikpuri,Rent,Yes,No,2,1,739,8445,Monthly_Rent_INR
Bowenpally,Rent,Yes,Yes,2,1,1110,17520,Monthly_Rent_INR
Bowenpally,Rent,No,No,2,2,1277,18061,Monthly_Rent_INR
Madhapur,Sale,Yes,No,3,3,1264,14478216,Sale_Price_INR
Alwal,Sale,No,No,3,3,1401,8255016,Sale_Price_INR
Ameerpet,Rent,No,No,3,2,1053,25386,Monthly_Rent_INR
ECIL,Rent,Yes,No,2,1,1030,13339,Monthly_Rent_INR
ECIL,Sale,Yes,No,1,1,621,3129495,Sale_Price_INR
